行政区,坐标,数量
宝山区,"121.371931,31.386056",135
宝山区,"121.371931,31.377056",40
宝山区,"121.371931,31.368056",177
宝山区,"121.371931,31.359056",332
宝山区,"121.371931,31.350056",630
宝山区,"121.371931,31.341056",391
宝山区,"121.371931,31.332056",90
宝山区,"121.371931,31.323056",237
宝山区,"121.371931,31.314056",311
宝山区,"121.371931,31.305056",108
宝山区,"121.371931,31.296056",141
宝山区,"121.380931,31.485056",2
宝山区,"121.380931,31.476056",2
宝山区,"121.380931,31.467056",2
宝山区,"121.380931,31.458056",7
宝山区,"121.380931,31.449056",12
宝山区,"121.380931,31.440056",9
宝山区,"121.380931,31.431056",12
宝山区,"121.380931,31.422056",78
宝山区,"121.380931,31.413056",90
宝山区,"121.380931,31.404056",26
宝山区,"121.380931,31.395056",29
宝山区,"121.380931,31.386056",69
宝山区,"121.380931,31.377056",33
宝山区,"121.380931,31.368056",67
宝山区,"121.380931,31.359056",288
宝山区,"121.380931,31.350056",354
宝山区,"121.380931,31.341056",169
宝山区,"121.380931,31.332056",121
宝山区,"121.380931,31.323056",719
宝山区,"121.380931,31.314056",874
宝山区,"121.380931,31.305056",203
宝山区,"121.380931,31.296056",155
宝山区,"121.389931,31.476056",1
宝山区,"121.389931,31.467056",9
宝山区,"121.389931,31.458056",29
宝山区,"121.389931,31.449056",34
宝山区,"121.389931,31.440056",9
宝山区,"121.389931,31.431056",16
宝山区,"121.389931,31.422056",89
宝山区,"121.389931,31.413056",111
宝山区,"121.389931,31.404056",37
宝山区,"121.389931,31.395056",48
宝山区,"121.389931,31.386056",57
宝山区,"121.389931,31.377056",64
宝山区,"121.389931,31.368056",55
宝山区,"121.389931,31.359056",394
宝山区,"121.389931,31.350056",619
宝山区,"121.389931,31.341056",301
宝山区,"121.389931,31.332056",158
宝山区,"121.389931,31.323056",606
宝山区,"121.389931,31.314056",759
宝山区,"121.389931,31.305056",207
宝山区,"121.389931,31.296056",159
宝山区,"121.398931,31.476056",1
宝山区,"121.398931,31.467056",9
宝山区,"121.398931,31.458056",91
宝山区,"121.398931,31.449056",275
宝山区,"121.398931,31.440056",103
宝山区,"121.398931,31.431056",19
宝山区,"121.398931,31.422056",91
宝山区,"121.398931,31.413056",79
宝山区,"121.398931,31.404056",47
宝山区,"121.398931,31.395056",54
宝山区,"121.398931,31.386056",74
宝山区,"121.398931,31.377056",43
宝山区,"121.398931,31.368056",52
宝山区,"121.398931,31.359056",308
宝山区,"121.398931,31.350056",668
宝山区,"121.398931,31.341056",403
宝山区,"121.398931,31.332056",222
宝山区,"121.398931,31.323056",268
宝山区,"121.398931,31.314056",256
宝山区,"121.398931,31.305056",317
宝山区,"121.398931,31.296056",380
宝山区,"121.407931,31.476056",1
宝山区,"121.407931,31.467056",3
宝山区,"121.407931,31.458056",89
宝山区,"121.407931,31.449056",259
宝山区,"121.407931,31.440056",85
宝山区,"121.407931,31.431056",83
宝山区,"121.407931,31.422056",173
宝山区,"121.407931,31.413056",122
宝山区,"121.407931,31.404056",54
宝山区,"121.407931,31.395056",91
宝山区,"121.407931,31.386056",79
宝山区,"121.407931,31.377056",71
宝山区,"121.407931,31.368056",109
宝山区,"121.407931,31.359056",381
宝山区,"121.407931,31.350056",453
宝山区,"121.407931,31.341056",199
宝山区,"121.407931,31.332056",242
宝山区,"121.407931,31.323056",289
宝山区,"121.407931,31.314056",294
宝山区,"121.407931,31.305056",495
宝山区,"121.407931,31.296056",555
宝山区,"121.407931,31.287056",814
宝山区,"121.407931,31.278056",887
宝山区,"121.416931,31.467056",2
宝山区,"121.416931,31.458056",3
宝山区,"121.416931,31.449056",9
宝山区,"121.416931,31.440056",7
宝山区,"121.416931,31.431056",55
宝山区,"121.416931,31.422056",210
宝山区,"121.416931,31.413056",245
宝山区,"121.416931,31.404056",67
宝山区,"121.416931,31.395056",112
宝山区,"121.416931,31.386056",192
宝山区,"121.416931,31.377056",145
宝山区,"121.416931,31.368056",177
宝山区,"121.416931,31.359056",408
宝山区,"121.416931,31.350056",413
宝山区,"121.416931,31.341056",64
宝山区,"121.416931,31.332056",182
宝山区,"121.416931,31.323056",125
宝山区,"121.416931,31.314056",160
宝山区,"121.416931,31.305056",378
宝山区,"121.416931,31.296056",516
宝山区,"121.416931,31.287056",828
宝山区,"121.416931,31.278056",864
宝山区,"121.416931,31.269056",879
宝山区,"121.425931,31.458056",3
宝山区,"121.425931,31.449056",2
宝山区,"121.425931,31.431056",1
宝山区,"121.425931,31.422056",228
宝山区,"121.425931,31.413056",410
宝山区,"121.425931,31.404056",340
宝山区,"121.425931,31.395056",242
宝山区,"121.425931,31.386056",309
宝山区,"121.425931,31.377056",223
宝山区,"121.425931,31.368056",487
宝山区,"121.425931,31.359056",404
宝山区,"121.425931,31.350056",494
宝山区,"121.425931,31.341056",312
宝山区,"121.425931,31.332056",237
宝山区,"121.425931,31.323056",322
宝山区,"121.425931,31.314056",83
宝山区,"121.425931,31.305056",301
宝山区,"121.434931,31.449056",1
宝山区,"121.434931,31.440056",1
宝山区,"121.434931,31.431056",2
宝山区,"121.434931,31.422056",123
宝山区,"121.434931,31.413056",439
宝山区,"121.434931,31.404056",419
宝山区,"121.434931,31.395056",138
宝山区,"121.434931,31.386056",322
宝山区,"121.434931,31.377056",680
宝山区,"121.434931,31.368056",636
宝山区,"121.434931,31.359056",448
宝山区,"121.434931,31.350056",468
宝山区,"121.434931,31.341056",491
宝山区,"121.434931,31.332056",879
宝山区,"121.434931,31.323056",856
宝山区,"121.443931,31.440056",1
宝山区,"121.443931,31.431056",1
宝山区,"121.443931,31.422056",2
宝山区,"121.443931,31.413056",102
宝山区,"121.443931,31.404056",228
宝山区,"121.443931,31.395056",199
宝山区,"121.443931,31.386056",319
宝山区,"121.443931,31.377056",679
宝山区,"121.443931,31.368056",571
宝山区,"121.443931,31.359056",361
宝山区,"121.443931,31.350056",350
宝山区,"121.443931,31.341056",806
宝山区,"121.443931,31.332056",875
宝山区,"121.443931,31.323056",845
宝山区,"121.452931,31.431056",2
宝山区,"121.452931,31.422056",2
宝山区,"121.452931,31.413056",7
宝山区,"121.452931,31.404056",194
宝山区,"121.452931,31.395056",288
宝山区,"121.452931,31.386056",224
宝山区,"121.452931,31.377056",328
宝山区,"121.452931,31.368056",222
宝山区,"121.452931,31.359056",263
宝山区,"121.452931,31.350056",305
宝山区,"121.452931,31.341056",735
宝山区,"121.452931,31.332056",866
宝山区,"121.452931,31.323056",873
宝山区,"121.461931,31.431056",2
宝山区,"121.461931,31.422056",3
宝山区,"121.461931,31.413056",74
宝山区,"121.461931,31.404056",196
宝山区,"121.461931,31.395056",277
宝山区,"121.461931,31.386056",149
宝山区,"121.461931,31.377056",126
宝山区,"121.461931,31.368056",70
宝山区,"121.461931,31.359056",111
宝山区,"121.461931,31.350056",69
宝山区,"121.461931,31.341056",397
宝山区,"121.461931,31.332056",720
宝山区,"121.461931,31.323056",863
宝山区,"121.470931,31.431056",1
宝山区,"121.470931,31.422056",4
宝山区,"121.470931,31.413056",119
宝山区,"121.470931,31.404056",393
宝山区,"121.470931,31.395056",175
宝山区,"121.470931,31.386056",109
宝山区,"121.470931,31.377056",132
宝山区,"121.470931,31.368056",92
宝山区,"121.470931,31.359056",33
宝山区,"121.470931,31.350056",45
宝山区,"121.470931,31.341056",421
宝山区,"121.470931,31.332056",452
宝山区,"121.470931,31.323056",744
宝山区,"121.479931,31.422056",1
宝山区,"121.479931,31.413056",388
宝山区,"121.479931,31.404056",864
宝山区,"121.479931,31.395056",601
宝山区,"121.479931,31.386056",118
宝山区,"121.479931,31.377056",96
宝山区,"121.479931,31.368056",230
宝山区,"121.479931,31.359056",45
宝山区,"121.479931,31.350056",178
宝山区,"121.479931,31.341056",771
宝山区,"121.479931,31.332056",748
宝山区,"121.479931,31.323056",690
宝山区,"121.488931,31.413056",412
宝山区,"121.488931,31.404056",860
宝山区,"121.488931,31.395056",856
宝山区,"121.488931,31.386056",749
宝山区,"121.488931,31.377056",839
宝山区,"121.488931,31.368056",485
宝山区,"121.488931,31.359056",110
宝山区,"121.488931,31.350056",320
宝山区,"121.488931,31.341056",855
宝山区,"121.488931,31.332056",589
宝山区,"121.488931,31.323056",564
宝山区,"121.488931,31.314056",869
宝山区,"121.497931,31.413056",183
宝山区,"121.497931,31.404056",509
宝山区,"121.497931,31.395056",691
宝山区,"121.497931,31.386056",841
宝山区,"121.497931,31.377056",852
宝山区,"121.497931,31.368056",445
宝山区,"121.497931,31.359056",108
宝山区,"121.497931,31.350056",285
宝山区,"121.497931,31.341056",405
宝山区,"121.506931,31.404056",66
宝山区,"121.506931,31.395056",214
宝山区,"121.506931,31.386056",260
宝山区,"121.506931,31.359056",78
宝山区,"121.506931,31.350056",118
宝山区,"121.515931,31.395056",7
宝山区,"121.515931,31.350056",27
