行政区,坐标,数量
奉贤区,"121.432244,30.916137",102
奉贤区,"121.432244,30.907137",119
奉贤区,"121.432244,30.898137",26
奉贤区,"121.432244,30.889137",11
奉贤区,"121.432244,30.880137",4
奉贤区,"121.432244,30.871137",1
奉贤区,"121.432244,30.862137",2
奉贤区,"121.432244,30.853137",5
奉贤区,"121.432244,30.844137",10
奉贤区,"121.432244,30.835137",111
奉贤区,"121.432244,30.826137",111
奉贤区,"121.441244,30.997137",367
奉贤区,"121.441244,30.988137",595
奉贤区,"121.441244,30.979137",87
奉贤区,"121.441244,30.970137",356
奉贤区,"121.441244,30.961137",352
奉贤区,"121.441244,30.952137",52
奉贤区,"121.441244,30.943137",25
奉贤区,"121.441244,30.934137",40
奉贤区,"121.441244,30.925137",75
奉贤区,"121.441244,30.916137",479
奉贤区,"121.441244,30.907137",661
奉贤区,"121.441244,30.898137",158
奉贤区,"121.441244,30.889137",13
奉贤区,"121.441244,30.880137",1
奉贤区,"121.441244,30.862137",1
奉贤区,"121.441244,30.853137",1
奉贤区,"121.441244,30.844137",6
奉贤区,"121.441244,30.835137",41
奉贤区,"121.441244,30.826137",32
奉贤区,"121.441244,30.817137",3
奉贤区,"121.441244,30.808137",5
奉贤区,"121.450244,31.006137",10
奉贤区,"121.450244,30.997137",167
奉贤区,"121.450244,30.988137",236
奉贤区,"121.450244,30.979137",71
奉贤区,"121.450244,30.970137",211
奉贤区,"121.450244,30.961137",278
奉贤区,"121.450244,30.952137",39
奉贤区,"121.450244,30.943137",160
奉贤区,"121.450244,30.934137",328
奉贤区,"121.450244,30.925137",192
奉贤区,"121.450244,30.916137",874
奉贤区,"121.450244,30.907137",876
奉贤区,"121.450244,30.898137",413
奉贤区,"121.450244,30.889137",21
奉贤区,"121.450244,30.880137",5
奉贤区,"121.450244,30.871137",4
奉贤区,"121.450244,30.862137",44
奉贤区,"121.450244,30.844137",6
奉贤区,"121.450244,30.835137",2
奉贤区,"121.450244,30.826137",3
奉贤区,"121.450244,30.817137",5
奉贤区,"121.450244,30.808137",2
奉贤区,"121.459244,31.006137",7
奉贤区,"121.459244,30.997137",26
奉贤区,"121.459244,30.988137",7
奉贤区,"121.459244,30.979137",13
奉贤区,"121.459244,30.970137",59
奉贤区,"121.459244,30.961137",24
奉贤区,"121.459244,30.952137",44
奉贤区,"121.459244,30.943137",537
奉贤区,"121.459244,30.934137",804
奉贤区,"121.459244,30.925137",629
奉贤区,"121.459244,30.916137",875
奉贤区,"121.459244,30.907137",871
奉贤区,"121.459244,30.898137",565
奉贤区,"121.459244,30.889137",15
奉贤区,"121.459244,30.880137",6
奉贤区,"121.459244,30.871137",55
奉贤区,"121.459244,30.862137",102
奉贤区,"121.459244,30.853137",39
奉贤区,"121.459244,30.844137",5
奉贤区,"121.459244,30.835137",3
奉贤区,"121.459244,30.826137",28
奉贤区,"121.459244,30.817137",13
奉贤区,"121.459244,30.808137",7
奉贤区,"121.459244,30.790137",3
奉贤区,"121.468244,31.006137",4
